,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,Code,Clim_station,Comments,tas_djf,tas_djf_unit,tas_mam,tas_mam_unit,tas_jja,tas_jja_unit,tas_son,tas_son_unit,tmax_mam,tmax_mam_un,tmax_jja,tmax_jja_un,tmax_son,tmax_son_un,tmax_djf,tmax_djf_un,tmin_mam,tmin_mam_un,tmin_jja,tmin_jja_un,tmin_son,tmin_son_un,tmin_djf,tmin_djf_un,,pr_djf,pr_djf_unit,pr_mam,pr_mam_unit,pr_jja,pr_jja_unit,pr_son,pr_son_unit
"Shrestha et al., 2017",158,Great Slave Lake,15801,15801,158.03,2021,2060,NA,15801.03,,,0.2,deltaC,-4.6,deltaC,-0.8,deltaC,-2.5,deltaC,,,,,,,,,,,,,,,,,,78,%,76,%,45,%,69,%
"Shrestha et al., 2017",158,Great Slave Lake,15801,15801,158.04,2061,2100,NA,15801.04,,,2.1,deltaC,-2.3,deltaC,3.2,deltaC,1.2,deltaC,,,,,,,,,,,,,,,,,,75,%,>100,%,44,%,85,%
"Shrestha et al., 2017",158,Great Slave Lake,15802,15802,158.01,2021,2060,NA,15802.01,,,3.9,deltaC,0.6,deltaC,3.2,deltaC,1.3,deltaC,,,,,,,,,,,,,,,,,,-27,%,25,%,16,%,-2,%
"Shrestha et al., 2017",158,Great Slave Lake,15802,15802,158.02,2061,2100,NA,15802.02,,,5.4,deltaC,1.4,deltaC,4.5,deltaC,1.6,deltaC,,,,,,,,,,,,,,,,,,-23,%,24,%,26,%,26,%
"Shrestha et al., 2017",158,Great Slave Lake,15802,15802,158.03,2021,2060,NA,15802.03,,,5.1,deltaC,0.9,deltaC,3.6,deltaC,1.4,deltaC,,,,,,,,,,,,,,,,,,-32,%,27,%,15,%,6,%
"Shrestha et al., 2017",158,Great Slave Lake,15802,15802,158.04,2061,2100,NA,15802.04,,,6.8,deltaC,3,deltaC,7.4,deltaC,4.9,deltaC,,,,,,,,,,,,,,,,,,-16,%,64,%,8,%,32,%
"Shrestha et al., 2017",158,Great Slave Lake,15803,15803,158.01,2021,2060,NA,15803.01,,,4.1,deltaC,2.2,deltaC,4.6,deltaC,2.1,deltaC,,,,,,,,,,,,,,,,,,-22,%,39,%,30,%,-2,%
"Shrestha et al., 2017",158,Great Slave Lake,15803,15803,158.02,2061,2100,NA,15803.02,,,5.4,deltaC,3.1,deltaC,5.9,deltaC,2.5,deltaC,,,,,,,,,,,,,,,,,,-14,%,47,%,30,%,20,%
"Shrestha et al., 2017",158,Great Slave Lake,15803,15803,158.03,2021,2060,NA,15803.03,,,5.4,deltaC,2.5,deltaC,5,deltaC,2.1,deltaC,,,,,,,,,,,,,,,,,,-26,%,47,%,27,%,-3,%
"Shrestha et al., 2017",158,Great Slave Lake,15803,15803,158.04,2061,2100,NA,15803.04,,,7.3,deltaC,4.5,deltaC,8.9,deltaC,5.8,deltaC,,,,,,,,,,,,,,,,,,-2,%,82,%,5,%,34,%
"Shrestha et al., 2017",158,Great Slave Lake,15804,15804,158.01,2021,2060,NA,15804.01,,,3.5,deltaC,1.6,deltaC,4.2,deltaC,1.8,deltaC,,,,,,,,,,,,,,,,,,-17,%,28,%,9,%,5,%
"Shrestha et al., 2017",158,Great Slave Lake,15804,15804,158.02,2061,2100,NA,15804.02,,,5,deltaC,2.5,deltaC,5.5,deltaC,2,deltaC,,,,,,,,,,,,,,,,,,-9,%,43,%,9,%,27,%
"Shrestha et al., 2017",158,Great Slave Lake,15804,15804,158.03,2021,2060,NA,15804.03,,,4.8,deltaC,1.9,deltaC,4.5,deltaC,1.8,deltaC,,,,,,,,,,,,,,,,,,-14,%,39,%,11,%,5,%
"Shrestha et al., 2017",158,Great Slave Lake,15804,15804,158.04,2061,2100,NA,15804.04,,,6.9,deltaC,4,deltaC,8.2,deltaC,5.4,deltaC,,,,,,,,,,,,,,,,,,-5,%,76,%,0,%,36,%
"Shrestha et al., 2017",158,Great Slave Lake,15805,15805,158.01,2021,2060,NA,15805.01,,,1.3,deltaC,1,deltaC,3.9,deltaC,0.8,deltaC,,,,,,,,,,,,,,,,,,-3,%,44,%,21,%,44,%
"Shrestha et al., 2017",158,Great Slave Lake,15805,15805,158.02,2061,2100,NA,15805.02,,,3.1,deltaC,2,deltaC,5.1,deltaC,1.1,deltaC,,,,,,,,,,,,,,,,,,3,%,56,%,21,%,65,%
"Shrestha et al., 2017",158,Great Slave Lake,15805,15805,158.03,2021,2060,NA,15805.03,,,2.5,deltaC,1.1,deltaC,4.2,deltaC,0.9,deltaC,,,,,,,,,,,,,,,,,,5,%,59,%,18,%,41,%
"Shrestha et al., 2017",158,Great Slave Lake,15805,15805,158.04,2061,2100,NA,15805.04,,,5.5,deltaC,3.4,deltaC,7.5,deltaC,4.3,deltaC,,,,,,,,,,,,,,,,,,7,%,89,%,21,%,70,%
"Shrestha et al., 2017",158,Great Slave Lake,15806,15806,158.01,2021,2060,NA,15806.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15806,15806,158.02,2061,2100,NA,15806.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15806,15806,158.03,2021,2060,NA,15806.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15806,15806,158.04,2061,2100,NA,15806.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.01,2021,2060,NA,15901.01,,,0,deltaC,0.2,deltaC,1,deltaC,0.8,deltaC,,,,,,,,,,,,,,,,,,82,%,44,%,-8,%,26,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.02,2021,2060,NA,15901.02,,,1.2,deltaC,0.5,deltaC,2,deltaC,1.4,deltaC,,,,,,,,,,,,,,,,,,104,%,51,%,-2,%,44,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.03,2021,2060,NA,15901.03,,,0.7,deltaC,-0.3,deltaC,0.4,deltaC,0.3,deltaC,,,,,,,,,,,,,,,,,,76,%,42,%,2,%,36,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.04,2061,2100,NA,15901.04,,,1.6,deltaC,1.5,deltaC,2.8,deltaC,1.9,deltaC,,,,,,,,,,,,,,,,,,86,%,54,%,-11,%,35,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.05,2061,2100,NA,15901.05,,,2.9,deltaC,1.8,deltaC,3.6,deltaC,1.6,deltaC,,,,,,,,,,,,,,,,,,115,%,56,%,1,%,66,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.06,2061,2100,NA,15901.06,,,1.9,deltaC,0.7,deltaC,1.4,deltaC,1.5,deltaC,,,,,,,,,,,,,,,,,,89,%,41,%,8,%,40,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.07,2021,2060,NA,15901.07,,,1,deltaC,0.7,deltaC,1.3,deltaC,1.5,deltaC,,,,,,,,,,,,,,,,,,66,%,42,%,-3,%,31,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.08,2021,2060,NA,15901.08,,,2.1,deltaC,1,deltaC,2.5,deltaC,1.3,deltaC,,,,,,,,,,,,,,,,,,96,%,53,%,0,%,46,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.09,2021,2060,NA,15901.09,,,0.5,deltaC,0.2,deltaC,0.9,deltaC,1,deltaC,,,,,,,,,,,,,,,,,,80,%,48,%,6,%,30,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.1,2061,2100,NA,15901.1,,,3.7,deltaC,3.2,deltaC,5.9,deltaC,3.8,deltaC,,,,,,,,,,,,,,,,,,89,%,54,%,-14,%,43,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.11,2061,2100,NA,15901.11,,,4.2,deltaC,3.8,deltaC,6.6,deltaC,5.1,deltaC,,,,,,,,,,,,,,,,,,120,%,78,%,-8,%,71,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.12,2061,2100,NA,15901.12,,,3.7,deltaC,1.7,deltaC,3.3,deltaC,2.8,deltaC,,,,,,,,,,,,,,,,,,103,%,54,%,8,%,55,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.01,2021,2060,NA,15902.01,,,-2.7,deltaC,1.4,deltaC,2.6,deltaC,1.6,deltaC,,,,,,,,,,,,,,,,,,35,%,10,%,-19,%,0,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.02,2021,2060,NA,15902.02,,,-3.5,deltaC,2,deltaC,3.4,deltaC,2.2,deltaC,,,,,,,,,,,,,,,,,,58,%,26,%,-12,%,20,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.03,2021,2060,NA,15902.03,,,-3,deltaC,1.1,deltaC,1.8,deltaC,0.8,deltaC,,,,,,,,,,,,,,,,,,29,%,13,%,-12,%,18,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.04,2061,2100,NA,15902.04,,,-0.7,deltaC,2.6,deltaC,4.3,deltaC,2.6,deltaC,,,,,,,,,,,,,,,,,,36,%,29,%,-21,%,10,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.05,2061,2100,NA,15902.05,,,-1.8,deltaC,3.1,deltaC,5,deltaC,2.3,deltaC,,,,,,,,,,,,,,,,,,63,%,31,%,-10,%,48,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.06,2061,2100,NA,15902.06,,,-1.5,deltaC,2.2,deltaC,2.7,deltaC,2.2,deltaC,,,,,,,,,,,,,,,,,,36,%,16,%,-6,%,17,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.07,2021,2060,NA,15902.07,,,-1.3,deltaC,2,deltaC,3,deltaC,2.3,deltaC,,,,,,,,,,,,,,,,,,13,%,15,%,-10,%,13,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.08,2021,2060,NA,15902.08,,,-2.7,deltaC,2.4,deltaC,4,deltaC,2,deltaC,,,,,,,,,,,,,,,,,,50,%,27,%,-10,%,24,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.09,2021,2060,NA,15902.09,,,-3,deltaC,1.7,deltaC,2.3,deltaC,1.7,deltaC,,,,,,,,,,,,,,,,,,33,%,26,%,-9,%,0,%
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.1,2061,2100,NA,15902.1,,,1.5,deltaC,4.3,deltaC,7.5,deltaC,4.6,deltaC,,,,,,,,,,,,,,,,,,36,%,31,%,-26,%,22,%
