,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,MedDlyFlo,MedDlyFlo_un,AnnSflo,AnnSflo_un,MedAnnSflo,MedAnnSflo_un,MeanFlo,MeanFlo_un,MedIMSOvMeanFlo,MedIMSOvMeanFlo_un,MedOvMeanFlo,MedOvMeanFlo_un,WaterYield,WaterYieldunit,Runoff,Runoff_un,AnnRunVol,AnnRunVol_un,MedRunoff,MedRunoff_un,MeanDlyDisch,MeanDlyDisch_un,SWE,SWE_un,Evap,Evap_un,ET,ET_un,AET,AET_un,DpAqRech,DpAqRech_un,Infilt,Infilt_un,Rech,Rech_un,Perc,Perc_un,SoilWat,SoilWat_un,MaxFlo,MaxFlo_un,HighFlo,HighFlo_un,PkDlyRunoff,PkDlyRunoff_un,AnnPkRunoff,AnnPkRunoff_un,MeanAnnMaxFlo,MeanAnnMaxFlo_un,PkFlo,PkFlo_un,MeanAnnFldPk,MeanAnnFldPk_un,Qhigh,Qhigh_un,Ann1dayMaxFlo,Ann1dayMaxFlo_un,PkSflo,PkSflo_un,HighFlow,HighFlow_un,Flood_flow,Flood_flow_un,Qp_mean,Qpmean_un,MinFlo,MinFlo_un,LowFlo,LowFlo_un,LF,LF_un,Ann1dayMinFlo,Ann1dayMinFlo_un,DateMaxFlo,DateMaxFlo_un,DatePkRunoff,DatePkRunoff_un,DateAnnMxFldPk,DateAnnMxFldPk_un,DatePkDisch,DatePkDisch_un,DayAnn1dayMaxFlo,DayAnn1dayMaxFlo_un,DatePkSflo,DatePkSflo_un,DateSprFld,DateSprFld_un,dp_mean,dpmean_un,DateMinFlo,DateMinFlo_un,DayAnn1dayMinFlo,DayAnn1dayMinFlo_un
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.03,2050s,NA,NA,,,8,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,%,,,,,,,,,,,,,,,,,,,,,,,,,16.3,%,,,,,,,-14,days change,,,,,,,,,,,,,,,3,day,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.04,2080s,NA,NA,,,15.4,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,%,,,,,,,,,,,,,,,,,,,,,,,,,37.9,%,,,,,,,-26,days change,,,,,,,,,,,,,,,17,day,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.01,2050s,NA,NA,,,6.6,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,%,,,,,,,,,,,,,,,,,,,,,,,,,16.2,%,,,,,,,-2,days change,,,,,,,,,,,,,,,6,day,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.02,2080s,NA,NA,,,13.9,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,%,,,,,,,,,,,,,,,,,,,,,,,,,33.2,%,,,,,,,2,days change,,,,,,,,,,,,,,,14,day,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.03,2050s,NA,NA,,,10.8,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,%,,,,,,,,,,,,,,,,,,,,,,,,,26.6,%,,,,,,,-2,days change,,,,,,,,,,,,,,,8,day,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.04,2080s,NA,NA,,,18.5,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,%,,,,,,,,,,,,,,,,,,,,,,,,,41.9,%,,,,,,,-16,days change,,,,,,,,,,,,,,,30,day,,
"Novotná et al., 2014",119,St. Lawrence,11901,11901,119.01,2010,2039,NA,,,23,%,,,,,,,,,,,20,%,,,,,,,11,%,,,7,%,,,,,,,18,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Novotná et al., 2014",119,St. Lawrence,11901,11901,119.02,2040,2069,NA,,,22,%,,,,,,,,,,,19,%,,,,,,,19,%,,,11,%,,,,,,,18,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Novotná et al., 2014",119,St. Lawrence,11901,11901,119.03,2070,2099,NA,,,16,%,,,,,,,,,,,-13,%,,,,,,,-43,%,,,18,%,,,,,,,19,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Novotná et al., 2014",119,St. Lawrence,11901,11901,119.04,2010,2039,NA,,,26,%,,,,,,,,,,,21,%,,,,,,,23,%,,,10,%,,,,,,,20,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
