,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,Code,Clim_station,Comments,tas_annual_IMS_min,tas_annual_IMS_min_un,tas_annual_IMS_max,tas_annual_IMS_max_un,tmax_ann_IMS_min,tmax_ann_IMS_min_un,tmax_ann_IMS_max,tmax_ann_max_IMS_un,tmin_ann_IMS_min,tmin_ann_IMS_min_un,tmin_ann_IMS_max,tmin_ann_IMS_max_un,pr_annual_IMS_min,pr_annual_IMS_min_un,pr_annual_IMS_max,pr_annual_IMS_max_un
"Shrestha et al., 2017",158,Great Slave Lake,15803,15803,158.03,2021,2060,NA,15803.03,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15803,15803,158.04,2061,2100,NA,15803.04,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15804,15804,158.01,2021,2060,NA,15804.01,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15804,15804,158.02,2061,2100,NA,15804.02,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15804,15804,158.03,2021,2060,NA,15804.03,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15804,15804,158.04,2061,2100,NA,15804.04,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15805,15805,158.01,2021,2060,NA,15805.01,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15805,15805,158.02,2061,2100,NA,15805.02,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15805,15805,158.03,2021,2060,NA,15805.03,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15805,15805,158.04,2061,2100,NA,15805.04,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15806,15806,158.01,2021,2060,NA,15806.01,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15806,15806,158.02,2061,2100,NA,15806.02,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15806,15806,158.03,2021,2060,NA,15806.03,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15806,15806,158.04,2061,2100,NA,15806.04,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.01,2021,2060,NA,15901.01,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.02,2021,2060,NA,15901.02,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.03,2021,2060,NA,15901.03,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.04,2061,2100,NA,15901.04,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.05,2061,2100,NA,15901.05,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.06,2061,2100,NA,15901.06,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.07,2021,2060,NA,15901.07,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.08,2021,2060,NA,15901.08,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.09,2021,2060,NA,15901.09,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.1,2061,2100,NA,15901.1,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.11,2061,2100,NA,15901.11,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15901,15901,159.12,2061,2100,NA,15901.12,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.01,2021,2060,NA,15902.01,,,,,,,,,,,,,,,,,,
