,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,DJFSflo,DJFSflo_un,MAMSflo,MAMSflo_un,JJASflo,JJASflo_un,SONSflo,SONSflo_un,IMS_50_DJF_strflo,unit,IMS_50_MAM_strflo,unit,IMS_50_JJA_strflo,unit,IMS_50_SON_strflo,unit,MAM_water_supply,unit,JJA_water_supply,unit,DJFRunoff,DJFRunoff_un,MAMRunoff,MAMRunoff_un,JJARunoff,JJARunoff_un,SONRunoff,SONRunoff_un,Runoff_MAM_medflowyr,Runoff_MAM_medflowyr_un,DJFET,DJFET_un,MAMET,MAMET_un,JJAET,JJAET_un,SONET,SONET_un,DJFAET,DJFAET_un,MAMAET,MAMAET_un,JJAAET,JJAAET_un,SONAET,SONAET_un,SONRech,SONRech_un,DJFRech,DJFRech_un,MAMRech,MAMRech_un,JJARech,JJARech_un,DJFSoilWat,DJFSoilWat_un,MAMSoilWat,MAMSoilWat_un,JJASoilWat,JJASoilWat_un,SONSoilWat,SONSoilWat_un
"Eum et al., 2017",43,Great Slave Lake,4303,4303,43.01,2050s,NA,NA,13.4,%,18.8,%,-3.4,%,-13.3,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4303,4303,43.02,2080s,NA,NA,32.2,%,29.3,%,22.8,%,0.3,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4303,4303,43.03,2050s,NA,NA,20.7,%,19.8,%,10.3,%,-11.3,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4303,4303,43.04,2080s,NA,NA,69.9,%,27.6,%,7.5,%,-6.1,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.01,2050s,NA,NA,15,%,22.2,%,-8.4,%,-5.1,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.02,2080s,NA,NA,26.9,%,31.9,%,-3.2,%,0.3,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.03,2050s,NA,NA,24,%,30,%,-5,%,1.2,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4304,4304,43.04,2080s,NA,NA,73.2,%,50.1,%,-14.2,%,4.3,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.01,2050s,NA,NA,-0.1,%,19.8,%,-1.3,%,-5,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.02,2080s,NA,NA,15.5,%,31.7,%,3.9,%,3.6,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.03,2050s,NA,NA,7.9,%,23.4,%,0.9,%,-2,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4305,4305,43.04,2080s,NA,NA,19.8,%,37.7,%,1.4,%,-3.7,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.01,2050s,NA,NA,6.4,%,19,%,-8,%,-8.6,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.02,2080s,NA,NA,24.3,%,29.8,%,0.6,%,1.8,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.03,2050s,NA,NA,18.2,%,25.9,%,-2.1,%,-1.2,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4306,4306,43.04,2080s,NA,NA,54.5,%,41.1,%,-7.9,%,1.2,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.01,2050s,NA,NA,12.6,%,28.8,%,1.3,%,0.6,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.02,2080s,NA,NA,32.7,%,38.1,%,3.5,%,9.6,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.03,2050s,NA,NA,25.7,%,32,%,1,%,4.5,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eum et al., 2017",43,Great Slave Lake,4307,4307,43.04,2080s,NA,NA,56.4,%,53.9,%,2.7,%,2.9,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Novotná et al., 2014",119,St. Lawrence,11901,11901,119.01,2010,2039,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Novotná et al., 2014",119,St. Lawrence,11901,11901,119.02,2040,2069,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Novotná et al., 2014",119,St. Lawrence,11901,11901,119.03,2070,2099,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Novotná et al., 2014",119,St. Lawrence,11901,11901,119.04,2010,2039,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Novotná et al., 2014",119,St. Lawrence,11901,11901,119.05,2040,2069,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Novotná et al., 2014",119,St. Lawrence,11901,11901,119.06,2070,2099,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oni et al., 2014",120,St. Lawrence,12001,12001,120.01,"2041-70
2071-2100",NA,12001,,,,,,,,,,,,,,,,,,,,,,,-35,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oni et al., 2014",120,St. Lawrence,12002,12002,120.01,"2041-70
2071-2100",NA,12002,,,,,,,,,,,,,,,,,,,,,,,-25,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15806,15806,158.01,2021,2060,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15806,15806,158.02,2061,2100,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15806,15806,158.03,2021,2060,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shrestha et al., 2017",158,Great Slave Lake,15806,15806,158.04,2061,2100,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
